,dataset_name,ds_name,model,dataset_size,number_annotations,num_annos,f1_bin_maj,f1_macro_maj,f1_bin_indi,f1_macro_indi,test_acc_maj,test_acc_indi,mean_train_millis,mean_train_millis_per_annotation,mean_train_millis_per_sample,mean_eval_millis_per_annotation,mean_test_millis_per_annotation,sum_all_millis,annotations_per_anno,comment_percentage,learning_rate,fold
31,ConvAbuse-uid,ConvAbuse,uid,3414,5056,3,0.7416666666666667,0.8435446009389672,0.7272727272727272,0.8406380672138763,0.9098837209302325,0.9212827988338192,8386.52451199996,1.6587271582278402,2.4565098160515406,0.5127618181565791,,112771.20876299523,,,,0
32,HSBrexit-comp,HSBrexit,comp,1120,3360,3,0.7321428571428571,0.8214285714285714,0.6625766871165644,0.7772608386466908,0.8660714285714286,0.8363095238095238,2134.279717702884,0.6352022969353822,1.9056068908061465,0.6445499289302028,,45347.21535607241,,,,0
33,HSBrexit-compUid,HSBrexit,compUid,1120,3360,3,0.7256637168141592,0.8165632016906617,0.6545454545454547,0.7710597095212481,0.8616071428571429,0.8303571428571429,2276.5557138016447,0.6775463433933466,2.03263903018004,0.6982327748500254,,48569.58063994534,,,,0
34,HSBrexit-sbertbase,HSBrexit,sbertbase,1120,3360,3,0.7580645161290324,0.8327359617682198,0.6795580110497238,0.7807158690686502,0.8660714285714286,0.8273809523809523,2264.8397283999657,0.6740594429761803,2.0221783289285407,0.7189418338391208,,49197.35609199415,,,,0
35,HSBrexit-uid,HSBrexit,uid,1120,3360,3,0.7580645161290324,0.8327359617682198,0.6906077348066298,0.7882773908249036,0.8660714285714286,0.8333333333333334,2333.1517213140614,0.6943903932482326,2.083171179744698,0.6250842394434758,,45757.109561469406,,,,0
36,ConvAbuse-comp,ConvAbuse,comp,3765,6611,4,0.7058823529411764,0.8233437021217327,0.6808510638297872,0.8107290954872649,0.9014454664914586,0.8998516320474778,11868.200246070046,1.7952201249538717,3.1522444212669445,0.48726315584506785,,154291.09956067987,,,,0
37,ConvAbuse-compUid,ConvAbuse,compUid,3765,6611,4,0.7744360902255639,0.8633326947943106,0.7684964200477328,0.8629482539413016,0.9211563731931669,0.9280415430267063,11620.097786699262,1.7576913911207475,3.086347353704983,0.44612303631827044,,148453.61416499145,,,,0
38,ConvAbuse-sbertbase,ConvAbuse,sbertbase,3765,6611,4,0.6963562753036437,0.8187663729459396,0.6732186732186732,0.8075573488417525,0.9014454664914586,0.9013353115727003,11237.572940101018,1.6998295174861622,2.9847471288448917,0.436552200499139,,144461.05248401,,,,0
39,ConvAbuse-uid,ConvAbuse,uid,3765,6611,4,0.7954545454545455,0.8762646336175748,0.7791563275434242,0.870171273235297,0.9290407358738502,0.9339762611275965,11827.608827500444,1.7890801433218038,3.141463167994806,0.46087858041142354,,152008.12258300357,,,,0
40,HSBrexit-comp,HSBrexit,comp,1120,4480,4,0.7716535433070866,0.8406554320896804,0.6164079822616408,0.7436998897139673,0.8705357142857143,0.8069196428571429,2927.4008502012293,0.6534376897770601,2.6137507591082403,0.5664227425001757,,57195.912657021836,,,,0
41,HSBrexit-compUid,HSBrexit,compUid,1120,4480,4,0.6725663716814159,0.7810593052436929,0.5811965811965812,0.7395920449355564,0.8348214285714286,0.8359375,3037.2726064175367,0.6779626353610573,2.711850541444229,0.49007512456487995,,54765.20975492895,,,,0
42,HSBrexit-sbertbase,HSBrexit,sbertbase,1120,4480,4,0.7731092436974789,0.8455211871982835,0.6109785202863962,0.746130192408311,0.8794642857142857,0.8180803571428571,2895.1377030010917,0.6462360944198865,2.584944377679546,0.5386028111388441,,55492.272968025645,,,,0
43,HSBrexit-uid,HSBrexit,uid,1120,4480,4,0.746031746031746,0.8233264320220841,0.649616368286445,0.7759145367485045,0.8571428571428571,0.8470982142857143,3131.0060663032345,0.698885282656972,2.795541130627888,0.5453657710716341,,58212.148799037095,,,,0
44,ConvAbuse-comp,ConvAbuse,comp,3951,8163,5,0.7687074829931972,0.858119173595364,0.7101727447216889,0.8280157377247741,0.9144654088050315,0.908761329305136,13653.599402100735,1.6726202869166649,3.4557325745635876,0.3960695905303904,,172406.90719800477,,,,0
45,ConvAbuse-compUid,ConvAbuse,compUid,3951,8163,5,0.8350168350168349,0.8985602349871491,0.7833333333333333,0.8732921083627797,0.9383647798742139,0.9371601208459215,14696.851731200513,1.8004228508147144,3.7197802407493072,0.39908366094566383,,183167.35228299876,,,,0
